Quote Date,Year,NSW,QLD,SA,VIC
2025-01-08,2025,132.16,117.06,102.35,81.91
2025-01-08,2026,125.16,107.27,102.18,75.1
2025-01-08,2027,123.53,99.47,102.4,71.0
2025-01-08,2028,124.69,99.25,98.94,72.44
